                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.0427,                0.58187,                 1.0667,                0.96752,                0.97832,                0.98791,                0.65043,                 1.2782,                0.47321,                  1.169,             0.00021235,             0.00021235,             0.00021235
                     88,                 1.0377,                0.57243,                 1.0568,                0.97849,                0.96792,                0.98157,                 0.6462,                 1.2927,                0.47636,                 1.1774,              0.0001982,              0.0001982,              0.0001982
                     89,                 1.0306,                0.57501,                  1.054,                0.98193,                0.96229,                0.98726,                0.65063,                 1.2821,                0.47213,                 1.1725,             0.00018406,             0.00018406,             0.00018406
                     90,                 1.0356,                0.57207,                 1.0555,                0.97875,                0.96652,                 0.9847,                0.65278,                 1.2682,                0.46471,                 1.1658,             0.00016991,             0.00016991,             0.00016991
                     91,                0.94842,                0.39909,                 1.0286,                0.96842,                 0.9711,                0.98369,                0.64678,                 1.2813,                 0.4711,                 1.1716,             0.00015576,             0.00015576,             0.00015576
                     92,                0.93202,                0.39339,                  1.024,                0.97508,                0.97667,                0.98705,                0.64423,                 1.2672,                0.47056,                 1.1674,             0.00014161,             0.00014161,             0.00014161
                     93,                0.92526,                0.39449,                 1.0168,                0.96714,                0.97772,                 0.9879,                0.64862,                 1.2751,                0.46875,                 1.1727,             0.00012747,             0.00012747,             0.00012747
                     94,                0.91439,                0.38488,                 1.0115,                0.97014,                0.97488,                0.98698,                0.64959,                 1.2631,                0.46821,                 1.1666,             0.00011332,             0.00011332,             0.00011332
                     95,                0.90405,                0.37841,                  1.009,                0.97308,                0.97762,                0.98715,                0.64603,                 1.2856,                0.47251,                 1.1796,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.90387,                0.38015,                  1.005,                0.97817,                0.96144,                0.98784,                0.65221,                 1.2753,                 0.4729,                 1.1724,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.89921,                0.37664,                 1.0082,                0.97224,                0.97402,                0.98848,                 0.6515,                 1.2811,                0.47404,                 1.1767,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.89507,                0.37185,                 1.0006,                0.97878,                 0.9706,                0.98796,                0.64955,                 1.2814,                0.47081,                 1.1758,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.87777,                0.36873,                0.99752,                0.97409,                0.97727,                0.98838,                0.65071,                 1.2852,                0.47003,                 1.1805,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.88086,                 0.3674,                0.99543,                0.97607,                0.97639,                0.98864,                0.65267,                 1.2838,                0.46688,                 1.1803,             2.8437e-05,             2.8437e-05,             2.8437e-05
